entry,2013-07-21T13:02:00+00:00,Doris,,
exit,2013-07-21T13:45:04+00:00,Edna,,
high_five,2013-07-21T13:46:04+00:00,Waylon,Uder,
comment,2013-07-21T14:23:09+00:00,Marge,,I think I'll just order a tab
comment,2013-07-21T14:27:48+00:00,Waylon,,My cat's name is mittens
exit,2013-07-21T15:07:44+00:00,Edna,,
high_five,2013-07-21T15:44:32+00:00,Waylon,Troy,
entry,2013-07-21T15:54:52+00:00,Troy,,
comment,2013-07-21T16:49:54+00:00,Nelson,,Hiya Homah
exit,2013-07-21T17:15:52+00:00,Marge,,
comment,2013-07-21T18:04:05+00:00,Homer,,i don't feel right
exit,2013-07-21T18:32:41+00:00,Doris,,
high_five,2013-07-21T19:09:34+00:00,Barney,Lisa,
high_five,2013-07-21T19:49:28+00:00,Lionel,Waylon,
comment,2013-07-21T19:55:37+00:00,Homer,,I think I'll just order a tab
high_five,2013-07-21T20:48:51+00:00,Doris,Ralph,
entry,2013-07-21T21:34:43+00:00,Barney,,
high_five,2013-07-21T22:07:07+00:00,Lionel,Kearny,
entry,2013-07-21T22:54:45+00:00,Nelson,,
exit,2013-07-21T23:03:12+00:00,Waylon,,
entry,2013-07-21T23:08:01+00:00,Troy,,
comment,2013-07-21T23:40:06+00:00,Ralph,,Hiya Homah
high_five,2013-07-22T00:39:50+00:00,Marge,Lisa,
exit,2013-07-22T00:45:04+00:00,Ralph,,
entry,2013-07-22T01:01:41+00:00,Doris,,
high_five,2013-07-22T01:06:52+00:00,Edna,Uder,
high_five,2013-07-22T01:50:51+00:00,Wendall,Edna,
high_five,2013-07-22T02:50:12+00:00,Troy,Uder,
entry,2013-07-22T03:06:16+00:00,Lisa,,
high_five,2013-07-22T03:34:28+00:00,Lionel,Nelson,
exit,2013-07-22T04:10:57+00:00,Wendall,,
comment,2013-07-22T04:39:18+00:00,Marge,,I think I'll just order a tab
high_five,2013-07-22T05:31:52+00:00,Lionel,Ralph,
comment,2013-07-22T05:41:39+00:00,Nelson,,i don't feel right
high_five,2013-07-22T06:39:47+00:00,Ralph,Waylon,
entry,2013-07-22T07:02:11+00:00,Homer,,
entry,2013-07-22T07:03:46+00:00,Troy,,
entry,2013-07-22T07:21:30+00:00,Doris,,
exit,2013-07-22T07:29:15+00:00,Homer,,
high_five,2013-07-22T08:25:48+00:00,Lisa,Barney,
high_five,2013-07-22T08:33:54+00:00,Marge,Troy,
comment,2013-07-22T09:31:29+00:00,Waylon,,sleep: that's where I'm a real viking
high_five,2013-07-22T09:40:43+00:00,Ralph,Uder,
high_five,2013-07-22T10:18:59+00:00,Uder,Kearny,
entry,2013-07-22T10:31:57+00:00,Nelson,,
comment,2013-07-22T10:35:45+00:00,Edna,,Where's the any key?
comment,2013-07-22T10:54:08+00:00,Lionel,,Hiya Homah
exit,2013-07-22T11:42:44+00:00,Uder,,
exit,2013-07-22T11:45:22+00:00,Uder,,
entry,2013-07-22T12:19:53+00:00,Lionel,,
high_five,2013-07-22T13:02:00+00:00,Barney,Marge,
exit,2013-07-22T13:23:33+00:00,Lisa,,
exit,2013-07-22T13:46:16+00:00,Uder,,
high_five,2013-07-22T14:28:04+00:00,Waylon,Barney,
comment,2013-07-22T15:13:07+00:00,Lionel,,Where's the any key?
exit,2013-07-22T15:44:17+00:00,Troy,,
entry,2013-07-22T16:31:18+00:00,Uder,,
exit,2013-07-22T16:35:41+00:00,Barney,,
comment,2013-07-22T17:32:25+00:00,Lisa,,i don't feel right
comment,2013-07-22T18:00:17+00:00,Kearny,,sleep: that's where I'm a real viking
exit,2013-07-22T18:30:15+00:00,Marge,,
comment,2013-07-22T18:55:32+00:00,Troy,,Excellent
comment,2013-07-22T18:58:50+00:00,Homer,,Hiya Homah
entry,2013-07-22T19:47:56+00:00,Barney,,
comment,2013-07-22T20:18:31+00:00,Lisa,,I think I'll just order a tab
